"filename", "language", "Python", "PowerShell", "JSON", "JSON Lines", "Markdown", "comment", "blank", "total"
"/home/kali/penhackit/mvp/sessions/session_20260223_215604/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_215604/steps.jsonl", "JSON Lines", 0, 0, 0, 6, 0, 0, 1, 7
"/home/kali/penhackit/mvp/sessions/session_20260223_215639/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_215639/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_215639/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_215639/steps.jsonl", "JSON Lines", 0, 0, 0, 6, 0, 0, 1, 7
"/home/kali/penhackit/mvp/sessions/session_20260223_215756/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_215756/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_215756/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_215756/steps.jsonl", "JSON Lines", 0, 0, 0, 6, 0, 0, 1, 7
"/home/kali/penhackit/mvp/sessions/session_20260223_220227/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_220227/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_220227/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_220312/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_220312/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_220312/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_220312/steps.jsonl", "JSON Lines", 0, 0, 0, 6, 0, 0, 1, 7
"/home/kali/penhackit/mvp/sessions/session_20260223_221119/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_221119/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
